id_pedido;produto;categoria;fornecedor;status;custo_unitario;quantidade;lead_time_dias;custo_frete
PED-66;Circuito Impresso;Eletrônicos;Norte Logística;Entregue;USD 402,46;345 unidades;16;R$ 476,08
PED-67;Caixa Papelão;Embalagens;Sudeste Express;Em trânsito;USD 167,06;428 unidades;17;R$ 525,35
PED-68;Válvula Hidráulica;Mecânica;Norte Logística;Atrasado;USD 160,13;371 unidades;13;R$ 475,53
PED-69;Chapa de Aço;Metalurgia;Global Shipping;Entregue;USD 163,11;229 unidades;20;R$ 692,8
PED-70;Caixa Papelão;Embalagens;Norte Logística;Atrasado;USD 138,18;59 unidades;15;R$ 547,75
PED-71;Circuito Impresso;Eletrônicos;Indústrias Alfa;Atrasado;USD 441,22;42 unidades;18;R$ 568,45
PED-72;Motor de Passo;Mecânica;Nordeste Distribuidora;Em trânsito;USD 133,48;434 unidades;25;R$ 558,09
PED-73;Cabo de Cobre;Metalurgia;Delta Matérias-Primas;Entregue;USD 189,62;172 unidades;19;R$ 505,6
PED-74;Polímero Industrial;Química;Nordeste Distribuidora;Em trânsito;USD 181,52;376 unidades;21;R$ 717,05
PED-75;Válvula Hidráulica;Mecânica;Indústrias Alfa;Entregue;USD 144,19;81 unidades;15;R$ 455,99
PED-76;Cabo de Cobre;Metalurgia;Amazonas Tech;Em trânsito;USD 248,06;234 unidades;38;R$ 872,56
PED-77;Cabo de Cobre;Metalurgia;Sul Metais;Em trânsito;USD 129,03;194 unidades;13;R$ 480,45
PED-78;Caixa Papelão;Embalagens;Norte Logística;Entregue;USD 163,92;336 unidades;13;R$ 539,5
PED-79;Sensor Prototipo;Eletrônicos;Indústrias Alfa;Em trânsito;USD 376,66;220 unidades;13;R$ 529,73
PED-80;Circuito Impresso;Eletrônicos;Nordeste Distribuidora;Entregue;USD 501,18;370 unidades;20;R$ 598,43
PED-81;Chapa de Aço;Metalurgia;LogTech Brasil;Entregue;USD 128,5;95 unidades;4;R$ 344,83
PED-82;Caixa Papelão;Embalagens;Bahia Peças;Em trânsito;USD 146,0;134 unidades;13;R$ 557,03
PED-83;Resina Epoxi;Química;Global Shipping;Em trânsito;USD 171,22;127 unidades;20;R$ 720,01
PED-84;Motor de Passo;Mecânica;Delta Matérias-Primas;Em trânsito;USD 125,03;63 unidades;21;R$ 529,96
PED-85;Polímero Industrial;Química;Sul Metais;Entregue;USD 109,8;171 unidades;12;R$ 510,36
PED-86;Polímero Industrial;Química;Amazonas Tech;Entregue;USD 205,96;179 unidades;40;R$ 877,64
PED-87;Cabo de Cobre;Metalurgia;Sul Metais;Entregue;USD 145,7;413 unidades;16;R$ 455,28
PED-88;Circuito Impresso;Eletrônicos;Global Shipping;Entregue;USD 441,18;140 unidades;18;R$ 697,18
PED-89;Sensor Prototipo;Eletrônicos;Global Shipping;Em trânsito;USD 452,09;135 unidades;17;R$ 554,67
PED-90;Resina Epoxi;Química;Global Shipping;Em trânsito;USD 185,09;389 unidades;25;R$ 709,03
PED-91;Motor de Passo;Mecânica;Bahia Peças;Entregue;USD 151,03;211 unidades;16;R$ 548,53
PED-92;Sensor Prototipo;Eletrônicos;Delta Matérias-Primas;Atrasado;USD 416,78;220 unidades;19;R$ 680,18
PED-93;Chapa de Aço;Metalurgia;Delta Matérias-Primas;Atrasado;USD 171,63;146 unidades;16;R$ 593,33
PED-94;Chapa de Aço;Metalurgia;Delta Matérias-Primas;Entregue;USD 188,83;300 unidades;14;R$ 574,08
PED-95;Circuito Impresso;Eletrônicos;Amazonas Tech;Em trânsito;USD 592,95;74 unidades;38;R$ 937,11
PED-96;Chapa de Aço;Metalurgia;Bahia Peças;Atrasado;USD 135,46;360 unidades;13;R$ 592,22
PED-97;Polímero Industrial;Química;LogTech Brasil;Entregue;USD 139,51;90 unidades;4;R$ 281,35
PED-98;Caixa Papelão;Embalagens;Sudeste Express;Em trânsito;USD 178,22;13 unidades;14;R$ 510,51
PED-99;Sensor Prototipo;Eletrônicos;LogTech Brasil;Entregue;USD 365,33;232 unidades;4;R$ 300,08
PED-100;Sensor Prototipo;Eletrônicos;Norte Logística;Em trânsito;USD 418,06;106 unidades;15;R$ 519,59
PED-101;Caixa Papelão;Embalagens;Sudeste Express;Atrasado;USD 132,91;75 unidades;13;R$ 563,81
PED-102;Circuito Impresso;Eletrônicos;Amazonas Tech;Em trânsito;USD 576,32;463 unidades;34;R$ 985,81
PED-103;Circuito Impresso;Eletrônicos;LogTech Brasil;Entregue;USD 380,73;87 unidades;4;R$ 389,54
PED-104;Motor de Passo;Mecânica;Sul Metais;Em trânsito;USD 114,55;476 unidades;11;R$ 444,23
PED-105;Válvula Hidráulica;Mecânica;Norte Logística;Atrasado;USD 149,18;290 unidades;18;R$ 551,19
PED-106;Cabo de Cobre;Metalurgia;LogTech Brasil;Entregue;USD 127,72;420 unidades;3;R$ 344,5
PED-107;Válvula Hidráulica;Mecânica;Norte Logística;Atrasado;USD 175,98;491 unidades;16;R$ 482,77
PED-108;Resina Epoxi;Química;Sudeste Express;Em trânsito;USD 145,48;284 unidades;11;R$ 587,34
PED-109;Resina Epoxi;Química;Indústrias Alfa;Entregue;USD 149,84;136 unidades;10;R$ 484,46
PED-110;Sensor Prototipo;Eletrônicos;Bahia Peças;Entregue;USD 402,18;121 unidades;16;R$ 518,1
PED-111;Cabo de Cobre;Metalurgia;Nordeste Distribuidora;Em trânsito;USD 126,76;212 unidades;20;R$ 653,95
PED-112;Resina Epoxi;Química;Sul Metais;Em trânsito;USD 118,71;272 unidades;11;R$ 415,36
PED-113;Válvula Hidráulica;Mecânica;Norte Logística;Em trânsito;USD 126,92;288 unidades;19;R$ 428,49
PED-114;Motor de Passo;Mecânica;Sul Metais;Entregue;USD 117,54;275 unidades;9;R$ 437,75
PED-115;Caixa Papelão;Embalagens;Nordeste Distribuidora;Em trânsito;USD 174,16;408 unidades;11;R$ 576,89
PED-116;Caixa Papelão;Embalagens;Indústrias Alfa;Entregue;USD 128,78;84 unidades;13;R$ 590,01
PED-117;Sensor Prototipo;Eletrônicos;Delta Matérias-Primas;Atrasado;USD 460,7;443 unidades;19;R$ 564,05
PED-118;Cabo de Cobre;Metalurgia;Sudeste Express;Em trânsito;USD 141,62;289 unidades;17;R$ 513,8
PED-119;Resina Epoxi;Química;Norte Logística;Em trânsito;USD 177,61;375 unidades;13;R$ 432,59
PED-120;Chapa de Aço;Metalurgia;Bahia Peças;Em trânsito;USD 169,59;230 unidades;20;R$ 501,92
PED-121;Cabo de Cobre;Metalurgia;Bahia Peças;Em trânsito;USD 149,33;381 unidades;10;R$ 520,24
PED-122;Circuito Impresso;Eletrônicos;LogTech Brasil;Entregue;USD 354,13;169 unidades;5;R$ 264,38
PED-123;Válvula Hidráulica;Mecânica;Norte Logística;Em trânsito;USD 146,49;127 unidades;24;R$ 502,87
PED-124;Sensor Prototipo;Eletrônicos;Sul Metais;Entregue;USD 384,89;469 unidades;10;R$ 381,11
PED-125;Chapa de Aço;Metalurgia;Norte Logística;Atrasado;USD 145,83;291 unidades;16;R$ 498,11
PED-126;Circuito Impresso;Eletrônicos;Norte Logística;Entregue;USD 383,35;389 unidades;15;R$ 613,04
PED-127;Chapa de Aço;Metalurgia;Bahia Peças;Entregue;USD 155,83;336 unidades;16;R$ 484,92
PED-128;Polímero Industrial;Química;Sul Metais;Entregue;USD 156,34;415 unidades;16;R$ 605,54
PED-129;Resina Epoxi;Química;Delta Matérias-Primas;Entregue;USD 159,32;273 unidades;15;R$ 505,47
PED-130;Circuito Impresso;Eletrônicos;Bahia Peças;Entregue;USD 402,45;19 unidades;12;R$ 514,38
PED-131;Chapa de Aço;Metalurgia;Indústrias Alfa;Em trânsito;USD 170,23;288 unidades;21;R$ 608,2
PED-132;Circuito Impresso;Eletrônicos;Nordeste Distribuidora;Atrasado;USD 470,07;100 unidades;15;R$ 656,94
PED-133;Motor de Passo;Mecânica;Global Shipping;Atrasado;USD 150,96;10 unidades;25;R$ 712,08
PED-134;Motor de Passo;Mecânica;Bahia Peças;Em trânsito;USD 193,35;127 unidades;10;R$ 538,73
PED-135;Resina Epoxi;Química;Global Shipping;Em trânsito;USD 162,44;332 unidades;24;R$ 648,6
PED-136;Sensor Prototipo;Eletrônicos;Norte Logística;Atrasado;USD 407,11;276 unidades;25;R$ 587,37
PED-137;Resina Epoxi;Química;Norte Logística;Entregue;USD 176,04;415 unidades;13;R$ 519,78
PED-138;Válvula Hidráulica;Mecânica;Nordeste Distribuidora;Em trânsito;USD 173,13;371 unidades;26;R$ 576,21
PED-139;Circuito Impresso;Eletrônicos;Indústrias Alfa;Entregue;USD 374,98;190 unidades;10;R$ 568,07
PED-140;Válvula Hidráulica;Mecânica;Delta Matérias-Primas;Atrasado;USD 163,76;33 unidades;23;R$ 562,92
PED-141;Chapa de Aço;Metalurgia;Indústrias Alfa;Entregue;USD 146,26;278 unidades;13;R$ 445,54
PED-142;Chapa de Aço;Metalurgia;Nordeste Distribuidora;Atrasado;USD 192,62;443 unidades;20;R$ 618,86
PED-143;Válvula Hidráulica;Mecânica;Amazonas Tech;Entregue;USD 224,68;101 unidades;44;R$ 925,85
PED-144;Válvula Hidráulica;Mecânica;Indústrias Alfa;Em trânsito;USD 180,38;27 unidades;16;R$ 467,12
PED-145;Motor de Passo;Mecânica;Global Shipping;Atrasado;USD 184,39;192 unidades;15;R$ 718,68
PED-146;Motor de Passo;Mecânica;LogTech Brasil;Entregue;USD 186,27;471 unidades;5;R$ 409,31
PED-147;Motor de Passo;Mecânica;Sul Metais;Em trânsito;USD 166,73;145 unidades;14;R$ 463,62
PED-148;Válvula Hidráulica;Mecânica;LogTech Brasil;Em trânsito;USD 150,57;448 unidades;3;R$ 291,44
PED-149;Chapa de Aço;Metalurgia;Sul Metais;Entregue;USD 125,73;53 unidades;12;R$ 540,82
PED-150;Resina Epoxi;Química;Sudeste Express;Entregue;USD 126,89;464 unidades;14;R$ 482,44
PED-151;Motor de Passo;Mecânica;Bahia Peças;Atrasado;USD 153,06;94 unidades;14;R$ 566,06
PED-152;Sensor Prototipo;Eletrônicos;Sul Metais;Em trânsito;USD 350,68;156 unidades;12;R$ 451,9
PED-153;Sensor Prototipo;Eletrônicos;Bahia Peças;Entregue;USD 403,27;494 unidades;12;R$ 461,31
PED-154;Cabo de Cobre;Metalurgia;Sudeste Express;Atrasado;USD 150,38;278 unidades;17;R$ 577,75
PED-155;Caixa Papelão;Embalagens;Global Shipping;Atrasado;USD 131,03;35 unidades;30;R$ 594,53
PED-156;Válvula Hidráulica;Mecânica;Nordeste Distribuidora;Entregue;USD 129,63;131 unidades;17;R$ 551,06
PED-157;Motor de Passo;Mecânica;LogTech Brasil;Em trânsito;USD 141,26;53 unidades;5;R$ 467,62
PED-158;Resina Epoxi;Química;Indústrias Alfa;Atrasado;USD 146,1;244 unidades;12;R$ 534,9
PED-159;Sensor Prototipo;Eletrônicos;Sul Metais;Em trânsito;USD 376,34;176 unidades;13;R$ 486,45
PED-160;Sensor Prototipo;Eletrônicos;Bahia Peças;Atrasado;USD 396,49;36 unidades;8;R$ 472,46
PED-161;Sensor Prototipo;Eletrônicos;Global Shipping;Entregue;USD 393,88;321 unidades;30;R$ 687,12
PED-162;Polímero Industrial;Química;Sudeste Express;Atrasado;USD 178,47;450 unidades;16;R$ 512,06
PED-163;Motor de Passo;Mecânica;LogTech Brasil;Entregue;USD 164,66;120 unidades;4;R$ 400,15
PED-164;Válvula Hidráulica;Mecânica;Bahia Peças;Entregue;USD 161,02;230 unidades;13;R$ 458,39
PED-165;Motor de Passo;Mecânica;Amazonas Tech;Entregue;USD 227,87;488 unidades;38;R$ 822,2
PED-166;Caixa Papelão;Embalagens;Nordeste Distribuidora;Entregue;USD 202,39;302 unidades;21;R$ 568,85
PED-167;Circuito Impresso;Eletrônicos;Sul Metais;Em trânsito;USD 355,68;347 unidades;13;R$ 508,06
PED-168;Motor de Passo;Mecânica;Bahia Peças;Em trânsito;USD 133,91;471 unidades;9;R$ 584,87
PED-169;Sensor Prototipo;Eletrônicos;Bahia Peças;Atrasado;USD 380,78;410 unidades;12;R$ 463,84
PED-170;Circuito Impresso;Eletrônicos;Sudeste Express;Entregue;USD 369,99;381 unidades;11;R$ 497,17
PED-171;Motor de Passo;Mecânica;Sudeste Express;Atrasado;USD 137,78;474 unidades;15;R$ 546,27
PED-172;Caixa Papelão;Embalagens;Indústrias Alfa;Em trânsito;USD 159,15;402 unidades;17;R$ 433,88
PED-173;Sensor Prototipo;Eletrônicos;Norte Logística;Atrasado;USD 413,07;20 unidades;12;R$ 520,91
PED-174;Sensor Prototipo;Eletrônicos;Sudeste Express;Entregue;USD 422,17;26 unidades;13;R$ 453,15
PED-175;Válvula Hidráulica;Mecânica;Indústrias Alfa;Atrasado;USD 119,47;296 unidades;14;R$ 584,59
PED-176;Cabo de Cobre;Metalurgia;Global Shipping;Em trânsito;USD 151,53;60 unidades;28;R$ 679,91
PED-177;Polímero Industrial;Química;Bahia Peças;Entregue;USD 131,37;57 unidades;8;R$ 605,01
PED-178;Chapa de Aço;Metalurgia;LogTech Brasil;Entregue;USD 188,32;201 unidades;5;R$ 436,27
PED-179;Cabo de Cobre;Metalurgia;Norte Logística;Entregue;USD 145,45;237 unidades;17;R$ 549,66
PED-180;Chapa de Aço;Metalurgia;Bahia Peças;Atrasado;USD 206,99;229 unidades;22;R$ 590,73
PED-181;Chapa de Aço;Metalurgia;Indústrias Alfa;Atrasado;USD 155,76;198 unidades;15;R$ 526,33
PED-182;Resina Epoxi;Química;Norte Logística;Atrasado;USD 170,15;167 unidades;20;R$ 551,22
PED-183;Sensor Prototipo;Eletrônicos;Indústrias Alfa;Entregue;USD 398,58;222 unidades;15;R$ 506,36
PED-184;Sensor Prototipo;Eletrônicos;Sul Metais;Entregue;USD 371,94;372 unidades;12;R$ 550,29
PED-185;Válvula Hidráulica;Mecânica;Norte Logística;Em trânsito;USD 155,09;294 unidades;15;R$ 602,5
PED-186;Resina Epoxi;Química;Amazonas Tech;Entregue;USD 196,03;484 unidades;47;R$ 916,44
PED-187;Polímero Industrial;Química;Sudeste Express;Entregue;USD 181,23;487 unidades;17;R$ 428,56
PED-188;Caixa Papelão;Embalagens;Nordeste Distribuidora;Atrasado;USD 165,1;473 unidades;24;R$ 560,21
PED-189;Chapa de Aço;Metalurgia;Global Shipping;Em trânsito;USD 124,49;321 unidades;19;R$ 642,19
PED-190;Circuito Impresso;Eletrônicos;Norte Logística;Atrasado;USD 377,56;256 unidades;11;R$ 588,81
PED-191;Válvula Hidráulica;Mecânica;Nordeste Distribuidora;Em trânsito;USD 147,13;336 unidades;15;R$ 623,07
PED-192;Válvula Hidráulica;Mecânica;Amazonas Tech;Em trânsito;USD 204,63;291 unidades;31;R$ 859,23
PED-193;Circuito Impresso;Eletrônicos;Indústrias Alfa;Atrasado;USD 366,82;16 unidades;13;R$ 566,35
PED-194;Cabo de Cobre;Metalurgia;Delta Matérias-Primas;Em trânsito;USD 113,81;164 unidades;14;R$ 627,56
PED-195;Circuito Impresso;Eletrônicos;LogTech Brasil;Entregue;USD 372,4;101 unidades;3;R$ 445,34
PED-196;Circuito Impresso;Eletrônicos;Global Shipping;Entregue;USD 456,53;385 unidades;20;R$ 679,78
PED-197;Motor de Passo;Mecânica;Sul Metais;Atrasado;USD 158,46;333 unidades;9;R$ 454,3
PED-198;Resina Epoxi;Química;Bahia Peças;Atrasado;USD 164,28;13 unidades;14;R$ 609,01
PED-199;Caixa Papelão;Embalagens;Bahia Peças;Em trânsito;USD 155,56;292 unidades;10;R$ 447,06
PED-200;Motor de Passo;Mecânica;Indústrias Alfa;Em trânsito;USD 125,79;381 unidades;16;R$ 515,67
PED-201;Cabo de Cobre;Metalurgia;Global Shipping;Entregue;USD 206,07;400 unidades;20;R$ 636,75
PED-202;Caixa Papelão;Embalagens;Norte Logística;Entregue;USD 129,63;295 unidades;14;R$ 529,52
PED-203;Válvula Hidráulica;Mecânica;Indústrias Alfa;Entregue;USD 146,9;425 unidades;11;R$ 546,55
PED-204;Polímero Industrial;Química;Norte Logística;Em trânsito;USD 140,75;276 unidades;17;R$ 613,38
PED-205;Sensor Prototipo;Eletrônicos;Sudeste Express;Entregue;USD 388,77;348 unidades;17;R$ 518,34
PED-206;Circuito Impresso;Eletrônicos;Delta Matérias-Primas;Atrasado;USD 441,76;285 unidades;12;R$ 634,16
PED-207;Polímero Industrial;Química;Indústrias Alfa;Entregue;USD 146,87;232 unidades;17;R$ 482,49
PED-208;Sensor Prototipo;Eletrônicos;Norte Logística;Entregue;USD 400,25;158 unidades;13;R$ 547,22
PED-209;Resina Epoxi;Química;Sudeste Express;Entregue;USD 146,53;238 unidades;21;R$ 569,87
PED-210;Válvula Hidráulica;Mecânica;Global Shipping;Em trânsito;USD 179,62;268 unidades;28;R$ 648,62
PED-211;Circuito Impresso;Eletrônicos;Sul Metais;Atrasado;USD 362,51;482 unidades;14;R$ 423,41
PED-212;Circuito Impresso;Eletrônicos;Nordeste Distribuidora;Entregue;USD 465,16;212 unidades;25;R$ 563,11
PED-213;Válvula Hidráulica;Mecânica;LogTech Brasil;Entregue;USD 151,0;101 unidades;5;R$ 433,87
PED-214;Chapa de Aço;Metalurgia;Nordeste Distribuidora;Atrasado;USD 225,34;113 unidades;25;R$ 594,55
PED-215;Resina Epoxi;Química;Global Shipping;Atrasado;USD 172,9;43 unidades;22;R$ 652,08
PED-216;Chapa de Aço;Metalurgia;Indústrias Alfa;Atrasado;USD 134,0;388 unidades;20;R$ 504,76
PED-217;Sensor Prototipo;Eletrônicos;Sul Metais;Entregue;USD 349,52;150 unidades;10;R$ 484,48
PED-218;Polímero Industrial;Química;Global Shipping;Atrasado;USD 137,91;35 unidades;27;R$ 585,1
PED-219;Cabo de Cobre;Metalurgia;Indústrias Alfa;Entregue;USD 151,17;164 unidades;12;R$ 584,73
PED-220;Caixa Papelão;Embalagens;Amazonas Tech;Atrasado;USD 219,52;398 unidades;45;R$ 896,5
PED-221;Caixa Papelão;Embalagens;Nordeste Distribuidora;Atrasado;USD 162,79;184 unidades;21;R$ 563,95
PED-222;Válvula Hidráulica;Mecânica;Bahia Peças;Em trânsito;USD 120,89;368 unidades;16;R$ 498,67
PED-223;Circuito Impresso;Eletrônicos;Indústrias Alfa;Atrasado;USD 395,75;174 unidades;10;R$ 450,47
PED-224;Sensor Prototipo;Eletrônicos;Bahia Peças;Entregue;USD 376,38;334 unidades;14;R$ 545,58
PED-225;Sensor Prototipo;Eletrônicos;Amazonas Tech;Em trânsito;USD 511,36;85 unidades;38;R$ 887,93
PED-226;Caixa Papelão;Embalagens;Sul Metais;Entregue;USD 134,48;150 unidades;15;R$ 423,14
PED-227;Polímero Industrial;Química;Sul Metais;Em trânsito;USD 152,34;470 unidades;12;R$ 495,49
PED-228;Caixa Papelão;Embalagens;Norte Logística;Em trânsito;USD 148,78;117 unidades;17;R$ 545,37
PED-229;Chapa de Aço;Metalurgia;Bahia Peças;Em trânsito;USD 138,68;480 unidades;15;R$ 488,88
PED-230;Motor de Passo;Mecânica;Delta Matérias-Primas;Atrasado;USD 184,16;217 unidades;14;R$ 529,0
PED-231;Resina Epoxi;Química;Sudeste Express;Em trânsito;USD 140,76;138 unidades;10;R$ 454,19
PED-232;Cabo de Cobre;Metalurgia;Sudeste Express;Atrasado;USD 152,61;273 unidades;20;R$ 458,23
PED-233;Resina Epoxi;Química;Bahia Peças;Entregue;USD 176,62;237 unidades;12;R$ 500,72
PED-234;Válvula Hidráulica;Mecânica;Nordeste Distribuidora;Entregue;USD 141,68;225 unidades;20;R$ 539,71
PED-235;Motor de Passo;Mecânica;LogTech Brasil;Entregue;USD 145,81;458 unidades;6;R$ 332,04
PED-236;Chapa de Aço;Metalurgia;Global Shipping;Entregue;USD 189,34;257 unidades;28;R$ 685,54
PED-237;Sensor Prototipo;Eletrônicos;Indústrias Alfa;Entregue;USD 375,98;276 unidades;13;R$ 539,46
PED-238;Circuito Impresso;Eletrônicos;Amazonas Tech;Em trânsito;USD 542,32;59 unidades;29;R$ 869,7
PED-239;Chapa de Aço;Metalurgia;Delta Matérias-Primas;Em trânsito;USD 146,26;144 unidades;25;R$ 486,51
